RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31-Dec-19,QLD,Bundaberg,49
31-Dec-19,QLD,Caboolture/Strathpine,71
31-Dec-19,QLD,Cairns,41
31-Dec-19,QLD,Ipswich,210
31-Dec-19,QLD,Mackay,13
31-Dec-19,QLD,Maroochydore,67
31-Dec-19,QLD,Maryborough,69
31-Dec-19,QLD,Robina,47
31-Dec-19,QLD,Rockhampton,158
31-Dec-19,QLD,Toowoomba,208
31-Dec-19,QLD,Townsville,59
31-Dec-19,SA,Adelaide Hills,42
31-Dec-19,SA,"Barossa, Light and Lower North",34
31-Dec-19,SA,Eastern Adelaide,164
31-Dec-19,SA,Eyre and Western,27
31-Dec-19,SA,Far North (SA),20
31-Dec-19,SA,Fleurieu and Kangaroo Island,35
31-Dec-19,SA,Limestone Coast,41
31-Dec-19,SA,Murray and Mallee,84
31-Dec-19,SA,Northern Adelaide,599
31-Dec-19,SA,Southern Adelaide,564
31-Dec-19,SA,Western Adelaide,142
31-Dec-19,SA,Yorke and Mid North,25
31-Dec-19,TAS,TAS North,118
31-Dec-19,TAS,TAS North West,95
31-Dec-19,TAS,TAS South East,63
31-Dec-19,TAS,TAS South West,135
31-Dec-19,VIC,Barwon,271
31-Dec-19,VIC,Bayside Peninsula,688
31-Dec-19,VIC,Brimbank Melton,168
31-Dec-19,VIC,Central Highlands,210
31-Dec-19,VIC,Goulburn,78
31-Dec-19,VIC,Hume Moreland,174
31-Dec-19,VIC,Inner East Melbourne,681
31-Dec-19,VIC,Inner Gippsland,126
31-Dec-19,VIC,Loddon,225
31-Dec-19,VIC,Mallee,84
31-Dec-19,VIC,North East Melbourne,639
31-Dec-19,VIC,Outer East Melbourne,361
31-Dec-19,VIC,Outer Gippsland,70
31-Dec-19,VIC,Ovens Murray,133
31-Dec-19,VIC,Southern Melbourne,214
31-Dec-19,VIC,Western District,251
31-Dec-19,VIC,Western Melbourne,226
31-Dec-19,WA,Central North Metro,12
31-Dec-19,WA,Central South Metro,55
31-Dec-19,WA,North East Metro,176
31-Dec-19,WA,North Metro,26
31-Dec-19,WA,South East Metro,21
31-Dec-19,WA,South Metro,59
31-Dec-19,WA,WA - Other,16
30-Sep-19,ACT,ACT,19
30-Sep-19,ACT,ACT - Other,<11
30-Sep-19,NSW,Central Coast,166
30-Sep-19,NSW,Hunter New England,776
30-Sep-19,NSW,Illawarra Shoalhaven,301
30-Sep-19,NSW,Mid North Coast,128
30-Sep-19,NSW,Murrumbidgee,234
30-Sep-19,NSW,NSW - Other,<11
30-Sep-19,NSW,Nepean Blue Mountains,337
30-Sep-19,NSW,North Sydney,641
30-Sep-19,NSW,Northern NSW,157
30-Sep-19,NSW,South Eastern Sydney,358
30-Sep-19,NSW,South Western Sydney,401
30-Sep-19,NSW,Southern NSW,134
30-Sep-19,NSW,Sydney,265
30-Sep-19,NSW,Western NSW,338
30-Sep-19,NSW,Western Sydney,587
30-Sep-19,NT,Central Australia,53
30-Sep-19,NT,Darwin Urban,77
30-Sep-19,NT,Katherine,14
30-Sep-19,NT,NT - Other,<11
30-Sep-19,QLD,Beenleigh,284
30-Sep-19,QLD,Brisbane,213
30-Sep-19,QLD,Bundaberg,49
30-Sep-19,QLD,Caboolture/Strathpine,70
30-Sep-19,QLD,Cairns,33
30-Sep-19,QLD,Ipswich,207
30-Sep-19,QLD,Mackay,19
30-Sep-19,QLD,Maroochydore,68
30-Sep-19,QLD,Maryborough,64
30-Sep-19,QLD,Robina,33
30-Sep-19,QLD,Rockhampton,165
30-Sep-19,QLD,Toowoomba,211
30-Sep-19,QLD,Townsville,64
30-Sep-19,SA,Adelaide Hills,43
30-Sep-19,SA,"Barossa, Light and Lower North",31
30-Sep-19,SA,Eastern Adelaide,169
30-Sep-19,SA,Eyre and Western,28
30-Sep-19,SA,Far North (SA),21
30-Sep-19,SA,Fleurieu and Kangaroo Island,38
30-Sep-19,SA,Limestone Coast,46
30-Sep-19,SA,Murray and Mallee,89
30-Sep-19,SA,Northern Adelaide,602
30-Sep-19,SA,Southern Adelaide,602
30-Sep-19,SA,Western Adelaide,136
30-Sep-19,SA,Yorke and Mid North,41
30-Sep-19,TAS,TAS North,123
30-Sep-19,TAS,TAS North West,105
30-Sep-19,TAS,TAS South East,65
30-Sep-19,TAS,TAS South West,145
30-Sep-19,VIC,Barwon,239
30-Sep-19,VIC,Bayside Peninsula,655
