SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Bankstown - South,15993,1022,114,1136,0.07103107609579191,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.006264129953730796
St Marys - North St Marys,16074,949,170,1119,0.06961552818215752,St Marys,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.007679677867365189
St Leonards - Naremburn,10500,631,79,710,0.06761904761904762,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.00967615843047509
Winston Hills,10774,625,97,722,0.06701317987748283,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.010282026172039882
Roselands,13739,800,113,913,0.06645316253002402,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.01084204351949869
Guildford - South Granville,20951,1245,145,1390,0.06634528184812181,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.010949924201400896
Ryde,27174,1613,175,1788,0.06579818944579377,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.01149701660372894
Chatswood (East) - Artarmon,28683,1724,136,1860,0.06484677335006798,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.012448432699454726
South Hurstville - Blakehurst,24070,1416,138,1554,0.06456169505608642,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.012733510993436295
Colyton - Oxley Park,11595,619,116,735,0.06338939197930142,St Marys,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.01390581407022129
Leumeah - Minto Heights,16541,904,134,1038,0.06275315881748383,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.014542047232038877
Hornsby - West,10684,610,53,663,0.06205540995881692,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.01523979609070579
Cobbitty - Leppington,17890,971,132,1103,0.061654555617663497,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.015640650431859214
Bidwill - Hebersham - Emerton,18439,975,161,1136,0.06160854710125278,Mount Druitt,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,-0.015686658948269934
Chipping Norton - Moorebank,18748,1027,126,1153,0.061499893321954345,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.015795312727568366
