location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Shellharbour Junction Station,Outer,"Piper Dr, Dunmore NSW 2529",-34.591283,150.844727,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Singleton Station,Outer,"Munro St, Singleton NSW 2330",-32.57177,151.165171,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Spit Junction B-Line,Sydney - North Sydney and Hornsby,"Spit Rd, Mosman NSW 2088",-33.824148,151.241656,wheelchair_access,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Springwood Station,Sydney - Outer West and Blue Mountains,"Jerseywold Ave, Springwood NSW 2777",-33.698842,150.56398,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
St James Station,Sydney - City and Inner South,"Elizabeth St, Sydney NSW 2000",-33.870697,151.211837,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
St Leonards Station,Sydney - North Sydney and Hornsby,"The Forum, Herbert St, St Leonards NSW 2065",-33.822389,151.194127,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
St Marys Station,Sydney - Outer West and Blue Mountains,"Cnr Station St & Queen St, St Marys NSW 2760",-33.762256,150.776029,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Strathfield Station,Sydney - Inner West,"Albert Rd, Strathfield NSW 2135",-33.871811,151.094427,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Stuart Town Station,Outer,"Bell St, Stuart Town NSW 2820",-32.801192,149.07832,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Summer Hill Station,Sydney - Inner West,"Carlton Cres, Summer Hill NSW 2130",-33.890561,151.139445,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Surry Hills Light Rail,Sydney - City and Inner South,"Eddie Ward Park, Devonshire St, Surry Hills NSW 2010",-33.888102,151.211879,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Sutherland Station,Sydney - Sutherland,"Old Princes Hwy, Sutherland NSW 2232",-34.031787,151.05719,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sydenham Station,Sydney - City and Inner South,"Gleeson Ave, Sydenham NSW 2044",-33.914373,151.166646,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sydney Olympic Park Wharf,Sydney - Parramatta,"Hill Rd, Sydney Olympic Park NSW 2127",-33.822207,151.079094,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tahmoor Station,Sydney - Outer South West,"George St, Tahmoor NSW 2573",-34.223677,150.589911,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Tamworth Station,Outer,"Marius St, Tamworth NSW 2340",-31.087262,150.930848,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Tarana Station,Outer,"Mutton Falls Rd, Tarana NSW 2787",-33.524107,149.907594,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Taree Station,Outer,"Olympia St, Taree NSW 2430",-31.906437,152.456963,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Taronga Zoo Wharf,Sydney - North Sydney and Hornsby,"Athol Wharf Rd, Mosman NSW 2088",-33.846343,151.239514,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Taverner's Hill Light Rail,Sydney - Inner West,"Parramatta Rd, Leichhardt NSW 2040",-33.889301,151.145221,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Telarah Station,Outer,"Johnson St, Telarah NSW 2320",-32.72391,151.539635,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
The Star Light Rail,Sydney - City and Inner South,"Pirrama Rd, Pyrmont NSW 2009",-33.867349,151.195201,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Thirroul Station,Outer,"Railway Pde, Thirroul NSW 2515",-34.318424,150.918652,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Thornton Station,Outer,"Karuah St, Thornton NSW 2322",-32.783595,151.639831,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Town Hall Station,Sydney - City and Inner South,"George St, Sydney NSW 2000",-33.873596,151.206899,wheelchair_access,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Tuggerah Station,Outer,"Pacific Hwy, Tuggerah NSW 2259",-33.308086,151.420153,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
